split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
validation,baseline,full,Complete recalibrated prior,1.8883222273103775,0.0,1.2029271564899868,1.7388435440665015,1.1235884664395341,382752235,3.198696864955531,2.1783596169548263,31131895
validation,NLoS,without_cost231,Without COST231 term,1.888398677577738,7.645026736047278e-05,1.2029943614213348,1.7388435440665015,1.1235884664395341,382752235,3.1992968263561323,2.1792530754013044,31131895
validation,NLoS,without_distance,Without distance terms,1.8901175194248563,0.0017952921144788192,1.2039371864025783,1.7388435440665015,1.1235884664395341,382752235,3.212762648741695,2.1917874970002558,31131895
validation,NLoS,without_building_density,Without local building density,1.8980315412462903,0.009709313935912789,1.2099758938528187,1.7388435440665015,1.1235884664395341,382752235,3.274203312836376,2.2720693166378703,31131895
validation,NLoS,without_building_height,Without local building height,1.8892891886849408,0.0009669613745633132,1.2038497302685198,1.7388435440665015,1.1235884664395341,382752235,3.206278836309372,2.1906248081900177,31131895
validation,NLoS,without_local_visibility,Without local NLoS fractions,1.8911844086708605,0.002862181360482996,1.2046348850281317,1.7388435440665015,1.1235884664395341,382752235,3.2210987352116995,2.2010630771934703,31131895
validation,NLoS,without_shadow_sigma,Without shadowing spread proxy,1.8904709999878067,0.0021487726774291893,1.2038185069829177,1.7388435440665015,1.1235884664395341,382752235,3.2155264242756685,2.1902097090642783,31131895
validation,NLoS,without_elevation,Without elevation terms,1.889160193590291,0.0008379662799136156,1.2031046042401237,1.7388435440665015,1.1235884664395341,382752235,3.2052681946670263,2.180718702634827,31131895
validation,NLoS,without_interactions,Without interaction terms,1.8911075281445837,0.00278530083420625,1.2044785728260892,1.7388435440665015,1.1235884664395341,382752235,3.2204985973339,2.1989849788396545,31131895
validation,NLoS,without_local_morphology,Without all local morphology and visibility,1.9174717076627945,0.029149480352417045,1.220833617307374,1.7388435440665015,1.1235884664395341,382752235,3.42147870989207,2.416417722855008,31131895
validation,NLoS,topology_only_routing,Without transmitter-height routing,1.889648482672348,0.0013262553619706186,1.2033177319959747,1.7388435440665015,1.1235884664395341,382752235,3.2090924929409343,2.1835521374710067,31131895
validation,NLoS,height_only_routing,Without topology routing,1.8891476563472793,0.0008254290369018591,1.202942230762843,1.7388435440665015,1.1235884664395341,382752235,3.2051699554511655,2.178560022433082,31131895
validation,NLoS,global_routing,Without topology and height routing,1.8907754938644294,0.0024532665540519805,1.203679864869181,1.7388435440665015,1.1235884664395341,382752235,3.2179056960182826,2.1883665263532572,31131895
validation,NLoS,without_15m_scale,Without the 15-pixel local scale,1.8895293596476985,0.0012071323373210596,1.203656769531171,1.7388435440665015,1.1235884664395341,382752235,3.2081598462754797,2.1880594845275243,31131895
validation,NLoS,without_41m_scale,Without the 41-pixel local scale,1.9054744358539681,0.017152208543590675,1.2146920056370631,1.7388435440665015,1.1235884664395341,382752235,3.3311805164443102,2.334767839256068,31131895
validation,NLoS,single_41m_scale,Only 41-pixel morphology plus geometry,1.8922869589295261,0.003964731619148676,1.2051320275466832,1.7388435440665015,1.1235884664395341,382752235,3.229695773415441,2.2076723568013064,31131895
validation,NLoS,lean_six_topology,Six-feature topology-routed model,1.8982107722118335,0.009888544901456076,1.209072807738439,1.7388435440665015,1.1235884664395341,382752235,3.275584374164832,2.2600632048748337,31131895
validation,NLoS,lean_four_full_routing,Four-feature model with nine regimes,1.896456555170873,0.008134327860495505,1.2080518055028568,1.7388435440665015,1.1235884664395341,382752235,3.2620477687258327,2.246489452875416,31131895
validation,NLoS,lean_four_topology,Four-feature topology-routed model,1.8991556111121626,0.010833383801785113,1.2097381797595195,1.7388435440665015,1.1235884664395341,382752235,3.28285736129932,2.2689090178287605,31131895
validation,NLoS,distance_density_topology,"Distance and density only, topology-routed",1.9014259780294327,0.01310375071905523,1.2104901267565256,1.7388435440665015,1.1235884664395341,382752235,3.300282900233736,2.278905805003521,31131895
validation,NLoS,distance_visibility_topology,"Distance and local visibility only, topology-routed",1.9063973567781494,0.0180751294677719,1.2134400440897708,1.7388435440665015,1.1235884664395341,382752235,3.338193308058023,2.3181235901413086,31131895
validation,NLoS,distance_only_full_routing,Distance only with nine regimes,1.9222830696637037,0.03396084235332619,1.223228049276617,1.7388435440665015,1.1235884664395341,382752235,3.4571846673827666,2.448250587267353,31131895
validation,NLoS,distance_only_topology,"Distance only, topology-routed",1.925942015363034,0.03761978805265653,1.2220609501556847,1.7388435440665015,1.1235884664395341,382752235,3.484152528669934,2.432734544819862,31131895
validation,NLoS,cost231_only_full_routing,Calibrated COST231 only with nine regimes,1.9233295649853486,0.035007337674971106,1.2246771844427278,1.7388435440665015,1.1235884664395341,382752235,3.464913933548989,2.4675161683531854,31131895
validation,NLoS,cost231_only_topology,"Calibrated COST231 only, topology-routed",1.9340974623713751,0.04577523506099768,1.2351799146792553,1.7388435440665015,1.1235884664395341,382752235,3.543703639768042,2.6071451040980183,31131895
validation,NLoS,constant_full_routing,Constant prediction in each of nine regimes,2.056855198779947,0.16853297146956936,1.2828823334875414,1.7388435440665015,1.1235884664395341,382752235,4.367046970126227,3.2413266759992205,31131895
validation,NLoS,constant_topology,Constant prediction per topology,2.0562304116302905,0.16790818431991306,1.28188314974223,1.7388435440665015,1.1235884664395341,382752235,4.363133609890493,3.2280429907260184,31131895
validation,NLoS,constant_global,Single global NLoS constant,2.056752448437157,0.16843022112677963,1.2822638942326468,1.7388435440665015,1.1235884664395341,382752235,4.36640355169269,3.2331048124419284,31131895
validation,LoS,without_radial,Without radial residual,1.8903119707568468,0.0019897434464692942,1.209822229862574,1.7411797483814129,1.1310443639709997,382752235,3.198696864955531,2.1783596169548263,31131895
validation,LoS,without_coherent,Without coherent two-ray term,3.5264833353344263,1.6381611080240488,2.734454895414389,3.551814429122868,2.7796859828801455,382752235,3.198696864955531,2.1783596169548263,31131895
validation,LoS,fspl_bias_only,FSPL plus height-binned bias only,3.7487112084472436,1.8603889811368661,2.958918815458613,3.7899390926955965,3.0224071109851014,382752235,3.198696864955531,2.1783596169548263,31131895
test,baseline,full,Complete recalibrated prior,1.9287496200454672,0.0,1.2170124173006334,1.7370444115023174,1.1145607215660924,391721805,3.5350744505050007,2.496532946839893,31365314
test,NLoS,without_cost231,Without COST231 term,1.9288873959899557,0.00013777594448849406,1.2170587218977156,1.7370444115023174,1.1145607215660924,391721805,3.5360883247389743,2.497157550138174,31365314
test,NLoS,without_distance,Without distance terms,1.9306298850512569,0.0018802650057896386,1.2178170654985823,1.7370444115023174,1.1145607215660924,391721805,3.548892291779499,2.507386856603997,31365314
test,NLoS,without_building_density,Without local building density,1.9361945509173406,0.0074449308718733676,1.2192952898415292,1.7370444115023174,1.1145607215660924,391721805,3.5895525471665044,2.5273266435448534,31365314
test,NLoS,without_building_height,Without local building height,1.9298517890030886,0.0011021689576213856,1.2176156363217154,1.7370444115023174,1.1145607215660924,391721805,3.543179060936107,2.5046697758783534,31365314
test,NLoS,without_local_visibility,Without local NLoS fractions,1.932291203790556,0.0035415837450887278,1.2189600379639804,1.7370444115023174,1.1145607215660924,391721805,3.5610676517461664,2.522804426709674,31365314
test,NLoS,without_shadow_sigma,Without shadowing spread proxy,1.930571820157063,0.0018222001115957287,1.2177179401681866,1.7370444115023174,1.1145607215660924,391721805,3.548466183914163,2.506049753763036,31365314
test,NLoS,without_elevation,Without elevation terms,1.9295524681205702,0.000802848075103002,1.2171651740445886,1.7370444115023174,1.1145607215660924,391721805,3.5409794332208113,2.498593484499672,31365314
test,NLoS,without_interactions,Without interaction terms,1.9313126365025388,0.0025630164570715763,1.2182258859617043,1.7370444115023174,1.1145607215660924,391721805,3.553899774974123,2.5129014410245625,31365314
test,NLoS,without_local_morphology,Without all local morphology and visibility,1.9499894749395867,0.021239854894119503,1.2239913330143208,1.7370444115023174,1.1145607215660924,391721805,3.6889061040771907,2.5906716295595325,31365314
test,NLoS,topology_only_routing,Without transmitter-height routing,1.92991629782763,0.0011666777821628393,1.217233193079993,1.7370444115023174,1.1145607215660924,391721805,3.5436529845654827,2.499510994132333,31365314
test,NLoS,height_only_routing,Without topology routing,1.9308534118686789,0.0021037918232116315,1.2178244194583225,1.7370444115023174,1.1145607215660924,391721805,3.5505322803055512,2.5074860542603536,31365314
test,NLoS,global_routing,Without topology and height routing,1.9317027259721182,0.0029531059266509896,1.2179234092928606,1.7370444115023174,1.1145607215660924,391721805,3.5567584252169917,2.5088213293959694,31365314
test,NLoS,without_15m_scale,Without the 15-pixel local scale,1.9298650478846031,0.001115427839135874,1.2175944910492829,1.7370444115023174,1.1145607215660924,391721805,3.5432764731539574,2.5043845470298884,31365314
