split,variant,label,overall_rmse_db,overall_mae_db,overall_pixels,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels,map_correlation,maps
validation,fspl_raw_nlos,FSPL LoS + raw COST231 NLoS,7.863132251122491,4.6777513975487635,413884130,3.7899798787111103,3.0285744435828517,382752235,25.40448453155349,24.95361847987526,31131895,0.5772229616046818,2750
validation,radial_fspl_raw_nlos,FSPL + refitted radial LoS + raw COST231 NLoS,7.759627045694193,4.447584044672318,413884130,3.551814429122868,2.7796859828801455,382752235,25.40448453155349,24.95361847987526,31131895,0.6611060087148336,2750
validation,global_nlos_ridge,FSPL + refitted radial LoS + frozen global NLoS ridge,3.527797591791432,2.7352076038338065,413884130,3.551814429122868,2.7796859828801455,382752235,3.2179056964607256,2.188366526888007,31131895,0.7470427191958575,2750
validation,regime_nlos_ridge,FSPL + refitted radial LoS + frozen itu3 building-maximum NLoS ridge,3.5264560679439363,2.734419522855446,413884130,3.551814429122868,2.7796859828801455,382752235,3.198297186259073,2.1778893551611245,31131895,0.7471699332344081,2750
test,fspl_raw_nlos,FSPL LoS + raw COST231 NLoS,7.81846470139508,4.793576646226574,423087119,3.992471316378327,3.2182293573918086,391721805,25.009776660110056,24.468108949145996,31365314,0.5633509854973339,2590
test,radial_fspl_raw_nlos,FSPL + refitted radial LoS + raw COST231 NLoS,7.703962195689633,4.561702289971388,423087119,3.7443499842355665,2.9677887331891646,391721805,25.009776660110056,24.468108949145996,31365314,0.6476122454491667,2590
test,global_nlos_ridge,FSPL + refitted radial LoS + frozen global NLoS ridge,3.7307667262422153,2.9337634553981546,423087119,3.7443499842355665,2.9677887331891646,391721805,3.556758424670963,2.508821328820981,31365314,0.7290806423295924,2590
test,regime_nlos_ridge,FSPL + refitted radial LoS + frozen itu3 building-maximum NLoS ridge,3.729322541440767,2.9328813057597483,423087119,3.7443499842355665,2.9677887331891646,391721805,3.5362696834466782,2.496922001141997,31365314,0.7292849007478376,2590
