model,group,nlos_pixels,mean_sum_abs_terms_db,mean_abs_raw_prediction_db,cancellation_ratio
regime_nlos_ridge,all,31365314,285.8419813503148,107.09522571606239,2.6690450432230945
regime_nlos_ridge,dense_highrise|NLoS|high_ant,3371950,269.28308695246466,106.82533095494495,2.5207793371221894
regime_nlos_ridge,dense_highrise|NLoS|low_ant,8377134,259.4858854817794,107.20234451241419,2.4205243519812254
regime_nlos_ridge,dense_highrise|NLoS|mid_ant,8294978,282.8257334584544,106.91594181865631,2.645309283606785
regime_nlos_ridge,mixed_midrise|NLoS|high_ant,587939,230.44980470239054,106.69894492599217,2.1598133408182587
regime_nlos_ridge,mixed_midrise|NLoS|low_ant,3557363,376.2723766474651,107.6325771381777,3.4958967503343357
regime_nlos_ridge,mixed_midrise|NLoS|mid_ant,1803531,232.1353676939685,106.67616293480987,2.176075341553362
regime_nlos_ridge,open_lowrise|NLoS|high_ant,358308,233.54993130473878,106.2340408093241,2.1984472164052358
regime_nlos_ridge,open_lowrise|NLoS|low_ant,3725095,317.21821731554184,107.58331515482358,2.9485819140173533
regime_nlos_ridge,open_lowrise|NLoS|mid_ant,1289016,294.558895731324,106.37180304989819,2.7691445221921143
