experiment,topology,maps,overall_pixels,overall_rmse_db,overall_mae_db,los_pixels,los_rmse_db,los_mae_db,nlos_pixels,nlos_rmse_db,nlos_mae_db
two_ray_plus_r_itu3,dense_urban,195,22064240,2.570569156241668,1.642716614358576,18302598,2.1126315689525788,1.3497233377445534,3761642,4.1282721497550385,3.068301015683651
two_ray_plus_r_itu3,suburban,1470,289472021,1.7010134614014285,1.086011376458794,277395741,1.6070458938886083,1.0382452876550703,12076280,3.167612723936046,2.1832126336655455
two_ray_plus_r_itu3,urban,925,111550858,2.300857472075248,1.4727644609391704,96023466,1.9993953989172804,1.2901999711526662,15527392,3.648400737886628,2.6017676494863347
fspl_plus_refitted_r_itu3,dense_urban,195,22064240,4.044861625168648,3.1371095603818278,18302598,4.0275046789030675,3.1512514385837935,3761642,4.1282721497550385,3.068301015683651
fspl_plus_refitted_r_itu3,suburban,1470,289472021,3.687411698020296,2.928839102370777,277395741,3.7083862537920727,2.961299564737774,12076280,3.167612723936046,2.1832126336655455
fspl_plus_refitted_r_itu3,urban,925,111550858,3.7718516669312856,2.902875478100606,96023466,3.7914366645530175,2.9515658606073427,15527392,3.648400737886628,2.6017676494863347
