topology,maps,overall_rmse_two_ray_plus_r_db,overall_rmse_fspl_plus_refitted_r_db,overall_rmse_delta_db,los_rmse_two_ray_plus_r_db,los_rmse_fspl_plus_refitted_r_db,los_rmse_delta_db,nlos_rmse_two_ray_plus_r_db,nlos_rmse_fspl_plus_refitted_r_db,nlos_rmse_delta_db
dense_urban,195,2.570569156241668,4.044861625168648,1.4742924689269796,2.1126315689525788,4.0275046789030675,1.9148731099504888,4.1282721497550385,4.1282721497550385,0.0
suburban,1470,1.7010134614014285,3.687411698020296,1.9863982366188673,1.6070458938886083,3.7083862537920727,2.1013403599034643,3.167612723936046,3.167612723936046,0.0
urban,925,2.300857472075248,3.7718516669312856,1.4709941948560377,1.9993953989172804,3.7914366645530175,1.7920412656357372,3.648400737886628,3.648400737886628,0.0
