model,group,nlos_pixels,mean_sum_abs_terms_db,mean_abs_raw_prediction_db,cancellation_ratio
regime_nlos_ridge,all,31365314,285.04547659750995,107.14587270902062,2.6603495719486725
regime_nlos_ridge,dense_urban|NLoS|high_ant,613381,330.0936591430652,107.11864937802541,3.0815703993629846
regime_nlos_ridge,dense_urban|NLoS|low_ant,1417304,264.97484331265684,107.84383936307616,2.457023459824814
regime_nlos_ridge,dense_urban|NLoS|mid_ant,1730957,277.468210669622,107.72163654410366,2.5757890389645195
regime_nlos_ridge,suburban|NLoS|high_ant,1004683,282.245844434118,106.6639106879144,2.6461231602499082
regime_nlos_ridge,suburban|NLoS|low_ant,7675681,343.3408014371276,107.73578648941721,3.1868779411644588
regime_nlos_ridge,suburban|NLoS|mid_ant,3183495,281.9693505434685,106.7826537166783,2.6405913388480244
regime_nlos_ridge,urban|NLoS|high_ant,2700133,229.56698448920935,106.7561311140762,2.1503868873245455
regime_nlos_ridge,urban|NLoS|low_ant,6566607,256.4235089287264,107.01047069192538,2.396246902482555
regime_nlos_ridge,urban|NLoS|mid_ant,6473073,272.19658537541807,106.69552490317338,2.5511527837970487
