experiment,topology,maps,overall_pixels,overall_rmse_db,overall_mae_db,los_pixels,los_rmse_db,los_mae_db,nlos_pixels,nlos_rmse_db,nlos_mae_db
two_ray_plus_r_itu3_building_max,dense_urban,195,22064240,2.571558148266099,1.6425866714468382,18302598,2.1126315689525788,1.3497233377445534,3761642,4.131883410934471,3.0675388241750277
two_ray_plus_r_itu3_building_max,suburban,1455,287075074,1.697740540214525,1.0841487414553375,275211215,1.6047544606042465,1.0369419777508766,11863859,3.1632159201518006,2.1792250395909236
two_ray_plus_r_itu3_building_max,urban,940,113947805,2.2962674400504848,1.4694444839318952,98207992,1.9966800715781465,1.2882478280453353,15739813,3.646573541971538,2.600014442528863
fspl_plus_refitted_r_itu3_building_max,dense_urban,195,22064240,4.045490216235199,3.1369796174700904,18302598,4.0275046789030675,3.1512514385837935,3761642,4.131883410934471,3.0675388241750277
fspl_plus_refitted_r_itu3_building_max,suburban,1455,287075074,3.6865469411747314,2.928593323120547,275211215,3.7074462929160887,2.9608972379696112,11863859,3.1632159201518006,2.1792250395909236
fspl_plus_refitted_r_itu3_building_max,urban,940,113947805,3.7724064547817244,2.9041637609179465,98207992,3.792185516221503,2.9529098283003408,15739813,3.646573541971538,2.600014442528863
