topology,maps,overall_rmse_two_ray_plus_r_db,overall_rmse_fspl_plus_refitted_r_db,overall_rmse_delta_db,los_rmse_two_ray_plus_r_db,los_rmse_fspl_plus_refitted_r_db,los_rmse_delta_db,nlos_rmse_two_ray_plus_r_db,nlos_rmse_fspl_plus_refitted_r_db,nlos_rmse_delta_db
dense_urban,195,2.571558148266099,4.045490216235199,1.4739320679690997,2.1126315689525788,4.0275046789030675,1.9148731099504888,4.131883410934471,4.131883410934471,0.0
suburban,1455,1.697740540214525,3.6865469411747314,1.9888064009602064,1.6047544606042465,3.7074462929160887,2.102691832311842,3.1632159201518006,3.1632159201518006,0.0
urban,940,2.2962674400504848,3.7724064547817244,1.4761390147312397,1.9966800715781465,3.792185516221503,1.7955054446433563,3.646573541971538,3.646573541971538,0.0
