combination,rho_phi,scope,maps,overall_rmse_db,los_rmse_db,nlos_rmse_db,overall_pixels,los_pixels,nlos_pixels
with_rho_phi,with,global,2590,1.9289120440554886,1.7370444115023174,3.5362696834466782,423087119,391721805,31365314
with_rho_phi,with,suburban,1455,1.697740540214525,1.6047544606042463,3.163215920151801,287075074,275211215,11863859
with_rho_phi,with,urban,940,2.2962674400504848,1.9966800715781465,3.646573541971538,113947805,98207992,15739813
with_rho_phi,with,dense_urban,195,2.5715581482660994,2.112631568952579,4.131883410934471,22064240,18302598,3761642
without_rho_phi,without,global,2590,3.729322541440767,3.7443499842355665,3.5362696834466782,423087119,391721805,31365314
without_rho_phi,without,suburban,1455,3.6865469411747314,3.707446292916089,3.163215920151801,287075074,275211215,11863859
without_rho_phi,without,urban,940,3.7724064547817244,3.792185516221503,3.646573541971538,113947805,98207992,15739813
without_rho_phi,without,dense_urban,195,4.0454902162351996,4.0275046789030675,4.131883410934471,22064240,18302598,3761642
