left_m,right_m,mid_m,count,density,probability
304.0,307.0,305.5,60,0.001236093943,0.003708281829
307.0,310.0,308.5,39,0.000803461063,0.002410383189
310.0,313.0,311.5,43,0.0008858673259,0.002657601978
313.0,316.0,314.5,39,0.000803461063,0.002410383189
316.0,319.0,317.5,49,0.00100947672,0.003028430161
319.0,322.0,320.5,43,0.0008858673259,0.002657601978
322.0,325.0,323.5,50,0.001030078286,0.003090234858
325.0,328.0,326.5,36,0.0007416563659,0.002224969098
328.0,331.0,329.5,41,0.0008446641945,0.002533992583
331.0,334.0,332.5,34,0.0007004532344,0.002101359703
334.0,337.0,335.5,41,0.0008446641945,0.002533992583
337.0,340.0,338.5,44,0.0009064688916,0.002719406675
340.0,343.0,341.5,41,0.0008446641945,0.002533992583
343.0,346.0,344.5,40,0.0008240626288,0.002472187886
346.0,349.0,347.5,34,0.0007004532344,0.002101359703
349.0,352.0,350.5,38,0.0007828594973,0.002348578492
352.0,355.0,353.5,19,0.0003914297487,0.001174289246
355.0,358.0,356.5,38,0.0007828594973,0.002348578492
358.0,361.0,359.5,29,0.0005974454059,0.001792336218
361.0,364.0,362.5,22,0.0004532344458,0.001359703337
364.0,367.0,365.5,30,0.0006180469716,0.001854140915
367.0,370.0,368.5,25,0.000515039143,0.001545117429
370.0,373.0,371.5,29,0.0005974454059,0.001792336218
373.0,376.0,374.5,28,0.0005768438401,0.00173053152
376.0,379.0,377.5,22,0.0004532344458,0.001359703337
379.0,382.0,380.5,27,0.0005562422744,0.001668726823
382.0,385.0,383.5,14,0.0002884219201,0.0008652657602
385.0,388.0,386.5,19,0.0003914297487,0.001174289246
388.0,391.0,389.5,27,0.0005562422744,0.001668726823
391.0,394.0,392.5,19,0.0003914297487,0.001174289246
394.0,397.0,395.5,19,0.0003914297487,0.001174289246
397.0,400.0,398.5,13,0.0002678203543,0.000803461063
400.0,403.0,401.5,14,0.0002884219201,0.0008652657602
403.0,406.0,404.5,12,0.0002472187886,0.0007416563659
406.0,409.0,407.5,11,0.0002266172229,0.0006798516687
409.0,412.0,410.5,18,0.0003708281829,0.001112484549
412.0,415.0,413.5,10,0.0002060156572,0.0006180469716
415.0,418.0,416.5,11,0.0002266172229,0.0006798516687
418.0,421.0,419.5,12,0.0002472187886,0.0007416563659
421.0,424.0,422.5,7,0.00014421096,0.0004326328801
424.0,427.0,425.5,10,0.0002060156572,0.0006180469716
427.0,430.0,428.5,8,0.0001648125258,0.0004944375773
430.0,433.0,431.5,2,4.120313144e-05,0.0001236093943
433.0,436.0,434.5,10,0.0002060156572,0.0006180469716
436.0,439.0,437.5,3,6.180469716e-05,0.0001854140915
439.0,442.0,440.5,3,6.180469716e-05,0.0001854140915
442.0,445.0,443.5,8,0.0001648125258,0.0004944375773
445.0,448.0,446.5,3,6.180469716e-05,0.0001854140915
448.0,451.0,449.5,3,6.180469716e-05,0.0001854140915
451.0,454.0,452.5,0,0,0
454.0,457.0,455.5,0,0,0
457.0,460.0,458.5,1,2.060156572e-05,6.180469716e-05
460.0,463.0,461.5,1,2.060156572e-05,6.180469716e-05
463.0,466.0,464.5,0,0,0
466.0,469.0,467.5,1,2.060156572e-05,6.180469716e-05
469.0,472.0,470.5,0,0,0
472.0,475.0,473.5,0,0,0
475.0,478.0,476.5,1,2.060156572e-05,6.180469716e-05
478.0,481.0,479.5,0,0,0
481.0,484.0,482.5,0,0,0
484.0,487.0,485.5,0,0,0
487.0,490.0,488.5,0,0,0
490.0,493.0,491.5,0,0,0
493.0,496.0,494.5,0,0,0
496.0,499.0,497.5,0,0,0
499.0,502.0,500.5,0,0,0
